dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/30/2013 7:00,,,,,,,,,,,,,,,0,,0.0002,,0.0384,,,,,0.0346,0.007666667,0.236933333,,,,,,0.042333333,,,,,,0,,,,,,0.2008,,,,0.0006,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 6:45,,,,,,,,,,,,,,,0,,0.0002,,0.005466667,,,,,0.0348,0.008,0.235666667,,,,,,0.006333333,,,,,,0.0014,,,,,,0.111733333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 6:30,,,,,,,,,,,,,,,0,,0,,0.004666667,,,,,0.034466667,0.008,0.237333333,,,,,,0.040133333,,,,,,0.003,,,,,,0.0726,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 6:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.548866667,0.1034,0.239866667,,,,,,0.015533333,,,,,,0.004533333,,,,,,0.0728,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 6:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.033733333,0.5396,0.051266667,,,,,,0.0308,,,,,,0.004,,,,,,0.002266667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 5:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034666667,0.008133333,0.049266667,,,,,,0.018133333,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 5:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034866667,0.0088,0.050333333,,,,,,0.028066667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 5:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.008933333,0.050066667,,,,,,0.03,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 5:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035066667,0.009,0.05,,,,,,0.017266667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 4:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.009,0.050266667,,,,,,0.035066667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
